Tx;Time;Msg Type;Amount;Amount / 100;Asset;ToAddress;Administrator;FromAddress;;Asset;;;;;Total Tx
4A4312299B1E67774A0E45D126EE3E28649263639639803B47E1DAC16806E0BE;2022-07-22T01:12:15.251Z;/cosmos.bank.v1beta1.MsgSend;48;0,48;cfigurepayomni;pb1ksfxlh23kk28lpf07ql0e9genwhv3y6upaa4lr;undefined;pb1zpqjcy3943ut0gfcmseavxd4jqnj4g4w4gevx0;;pm.participation.agreement.4fso5npbqofghccnbwjns;;;;;1
4A4312299B1E67774A0E45D126EE3E28649263639639803B47E1DAC16806E0BE;2022-07-22T01:12:15.251Z;/cosmos.bank.v1beta1.MsgSend;202;2,02;cfigurepayomni;pb1ksfxlh23kk28lpf07ql0e9genwhv3y6upaa4lr;undefined;pb1ghu6ff9tykga5zzdq8pxmevgharaw7ptygdkmq;;pm.participation.agreement.4kd4ujrazjuatxojrdbhjb;;;;;1
61F0C1DB2E42F76240CC7E3F6B2CD52042F588D170BF950569AB49B5101F0A8F;2022-07-21T20:16:31.387Z;/provenance.marker.v1.MsgWithdrawRequest;73768;737,68;osmo-systems.ss2.stock;pb1j57r78tfq0sfum4eus27e9ldj9fgzf3flmh728;pb1us4twdsysm4sgt750k3ler8hfhseyzdk8tcvre;undefined;;pm.participation.agreement.5lksy8umgiix5clgdzbjmn;;;;;1
FF880433CBC4389EE41A4682250E427E6747E6AEE2607644002AF07E6DCF8A25;2022-07-21T20:16:25.199Z;/provenance.marker.v1.MsgWithdrawRequest;36884;368,84;osmo-systems.ss2.stock;pb1yplas6q69d3z7q6wsq7zljw4u23tmdua7p7wle;pb1us4twdsysm4sgt750k3ler8hfhseyzdk8tcvre;undefined;;pm.participation.agreement.6dcv27dcioleqjeb1mvxwu;;;;;1
F32ACBB09AA0CFD063A44D5BF02EA0C8DEA95EAE6B48725B2B60EB48A9253581;2022-07-21T20:16:22.214Z;/provenance.marker.v1.MsgWithdrawRequest;36884;368,84;osmo-systems.ss2.stock;pb1828khnfgw5vqxz7fzk9e9z6gefqfc0gqqus262;pb1us4twdsysm4sgt750k3ler8hfhseyzdk8tcvre;undefined;;pm.participation.agreement.6desvgl3m2tfpthgfyrdow;;;;;1
52E5C83E92DC1AC481590C01135AEC2CC02F5E2498CB5F0C4A9C30EFAF5685EB;2022-07-21T20:16:15.592Z;/provenance.marker.v1.MsgWithdrawRequest;5901;59,01;osmo-systems.ss2.stock;pb18fm72qvchrewqpx5nwqffmkyhyacrad0r6gqtr;pb1us4twdsysm4sgt750k3ler8hfhseyzdk8tcvre;undefined;;pm.participation.agreement.6ugtcnywbncncjtjwp4zot;;;;;1
98A301E291C5838D658AB74B0857E382778B62DBDD044B35737F9284EC1615BF;2022-07-21T20:16:09.367Z;/provenance.marker.v1.MsgWithdrawRequest;36884;368,84;osmo-systems.ss2.stock;pb1zyk9d865la5ee7a2cqcx9dt45usjcm9msztnk7;pb1us4twdsysm4sgt750k3ler8hfhseyzdk8tcvre;undefined;;pm.participation.agreement.7cz3lyf4z4qw3s4am7yyvj;;;;;1
DDCE651125A4B40F7E0C96CF028C7C3C7E0C5B6078CDD89B26B31CFA830766F8;2022-07-21T20:16:02.781Z;/provenance.marker.v1.MsgWithdrawRequest;480503;4805,03;osmo-systems.ss2.stock;pb19e28s5ralj8az2dw73c73ha37tnuqc8v8870r4;pb1us4twdsysm4sgt750k3ler8hfhseyzdk8tcvre;undefined;;pm.participation.agreement.7hqymza19cbpsbahtf3d2o;;;;;1
75B6C1DFE176294AAC39BDF5FCC079A2C9CB59FC31ED0A591E3BD92FDDF74213;2022-07-21T20:15:50.985Z;/provenance.marker.v1.MsgWithdrawRequest;36884;368,84;osmo-systems.ss2.stock;pb1853q3kmt7jvshuru6urhmmpmxjfq76fwja79af;pb1us4twdsysm4sgt750k3ler8hfhseyzdk8tcvre;undefined;;pm.participation.agreement.bcz5w4yz2s017kepejxb1;;;;;1
570C63ADF3398B47459D88CA566BD8BCD0ADEDA055F6ADABD123E7090C16D7FE;2022-07-21T20:15:57.454Z;/provenance.marker.v1.MsgWithdrawRequest;73768;737,68;osmo-systems.ss2.stock;pb18p7elfyz2rjf8c40dl2n2h38jd98qwl6k05gu3;pb1us4twdsysm4sgt750k3ler8hfhseyzdk8tcvre;undefined;;pm.participation.agreement.iohsuzchoeraxvjx7f3sw;;;;;1
61DD996C9E78D8CDC0850683A2E09F5B0DDF007324DAC138986E9A92B47E365C;2022-07-21T20:13:19.043Z;/provenance.marker.v1.MsgWithdrawRequest;3011;30,11;osmo-systems.ss1.stock;pb15d6pfsfj8gedur7ee9pl32p0cjdm89uwxhe3v4;pb1d3y069mwvkmp6pfa52snn00mwlr9745r6trg6r;undefined;;pm.participation.unit.1e4unumhpxqdm560dwwway;;;;;2
